id,name,type,province_id
1,"Quận Ba Đình",Quận,1
2,"Quận Hoàn Kiếm",Quận,1
3,"Quận Tây Hồ",Quận,1
4,"Quận Long Biên",Quận,1
5,"Quận Cầu Giấy",Quận,1
6,"Quận Đống Đa",Quận,1
7,"Quận Hai Bà Trưng",Quận,1
8,"Quận Hoàng Mai",Quận,1
9,"Quận Thanh Xuân",Quận,1
10,"Huyện Sóc Sơn",Huyện,1
11,"Huyện Đông Anh",Huyện,1
12,"Huyện Gia Lâm",Huyện,1
13,"Quận Nam Từ Liêm",Quận,1
14,"Huyện Thanh Trì",Huyện,1
15,"Quận Bắc Từ Liêm",Quận,1
16,"Thành phố Hà Giang","Thành phố",2
17,"Huyện Đồng Văn",Huyện,2
18,"Huyện Mèo Vạc",Huyện,2
19,"Huyện Yên Minh",Huyện,2
20,"Huyện Quản Bạ",Huyện,2
21,"Huyện Vị Xuyên",Huyện,2
22,"Huyện Bắc Mê",Huyện,2
23,"Huyện Hoàng Su Phì",Huyện,2
24,"Huyện Xín Mần",Huyện,2
25,"Huyện Bắc Quang",Huyện,2
26,"Huyện Quang Bình",Huyện,2
27,"Thành phố Cao Bằng","Thành phố",3
28,"Huyện Bảo Lâm",Huyện,3
29,"Huyện Bảo Lạc",Huyện,3
30,"Huyện Hà Quảng",Huyện,3
31,"Huyện Trùng Khánh",Huyện,3
32,"Huyện Hạ Lang",Huyện,3
33,"Huyện Quảng Hòa",Huyện,3
34,"Huyện Hoà An",Huyện,3
35,"Huyện Nguyên Bình",Huyện,3
36,"Huyện Thạch An",Huyện,3
37,"Thành Phố Bắc Kạn","Thành phố",4
38,"Huyện Pác Nặm",Huyện,4
39,"Huyện Ba Bể",Huyện,4
40,"Huyện Ngân Sơn",Huyện,4
41,"Huyện Bạch Thông",Huyện,4
42,"Huyện Chợ Đồn",Huyện,4
43,"Huyện Chợ Mới",Huyện,4
44,"Huyện Na Rì",Huyện,4
45,"Thành phố Tuyên Quang","Thành phố",5
46,"Huyện Lâm Bình",Huyện,5
47,"Huyện Na Hang",Huyện,5
48,"Huyện Chiêm Hóa",Huyện,5
49,"Huyện Hàm Yên",Huyện,5
50,"Huyện Yên Sơn",Huyện,5
51,"Huyện Sơn Dương",Huyện,5
52,"Thành phố Lào Cai","Thành phố",6
53,"Huyện Bát Xát",Huyện,6
54,"Huyện Mường Khương",Huyện,6
55,"Huyện Si Ma Cai",Huyện,6
56,"Huyện Bắc Hà",Huyện,6
57,"Huyện Bảo Thắng",Huyện,6
58,"Huyện Bảo Yên",Huyện,6
59,"Thị xã Sa Pa","Thị xã",6
60,"Huyện Văn Bàn",Huyện,6
61,"Thành phố Điện Biên Phủ","Thành phố",7
62,"Thị Xã Mường Lay","Thị xã",7
63,"Huyện Mường Nhé",Huyện,7
64,"Huyện Mường Chà",Huyện,7
65,"Huyện Tủa Chùa",Huyện,7
66,"Huyện Tuần Giáo",Huyện,7
67,"Huyện Điện Biên",Huyện,7
68,"Huyện Điện Biên Đông",Huyện,7
69,"Huyện Mường Ảng",Huyện,7
70,"Huyện Nậm Pồ",Huyện,7
71,"Thành phố Lai Châu","Thành phố",8
72,"Huyện Tam Đường",Huyện,8
73,"Huyện Mường Tè",Huyện,8
74,"Huyện Sìn Hồ",Huyện,8
75,"Huyện Phong Thổ",Huyện,8
76,"Huyện Than Uyên",Huyện,8
77,"Huyện Tân Uyên",Huyện,8
78,"Huyện Nậm Nhùn",Huyện,8
79,"Thành phố Sơn La","Thành phố",9
80,"Huyện Quỳnh Nhai",Huyện,9
81,"Huyện Thuận Châu",Huyện,9
82,"Huyện Mường La",Huyện,9
83,"Huyện Bắc Yên",Huyện,9
84,"Huyện Phù Yên",Huyện,9
85,"Huyện Mộc Châu",Huyện,9
86,"Huyện Yên Châu",Huyện,9
87,"Huyện Mai Sơn",Huyện,9
88,"Huyện Sông Mã",Huyện,9
89,"Huyện Sốp Cộp",Huyện,9
90,"Huyện Vân Hồ",Huyện,9
91,"Thành phố Yên Bái","Thành phố",10
92,"Thị xã Nghĩa Lộ","Thị xã",10
93,"Huyện Lục Yên",Huyện,10
94,"Huyện Văn Yên",Huyện,10
95,"Huyện Mù Căng Chải",Huyện,10
96,"Huyện Trấn Yên",Huyện,10
97,"Huyện Trạm Tấu",Huyện,10
98,"Huyện Văn Chấn",Huyện,10
99,"Huyện Yên Bình",Huyện,10
100,"Thành phố Hòa Bình","Thành phố",11
101,"Huyện Đà Bắc",Huyện,11
102,"Huyện Lương Sơn",Huyện,11
103,"Huyện Kim Bôi",Huyện,11
104,"Huyện Cao Phong",Huyện,11
105,"Huyện Tân Lạc",Huyện,11
106,"Huyện Mai Châu",Huyện,11
107,"Huyện Lạc Sơn",Huyện,11
108,"Huyện Yên Thủy",Huyện,11
109,"Huyện Lạc Thủy",Huyện,11
110,"Thành phố Thái Nguyên","Thành phố",12
111,"Thành phố Sông Công","Thành phố",12
112,"Huyện Định Hóa",Huyện,12
113,"Huyện Phú Lương",Huyện,12
114,"Huyện Đồng Hỷ",Huyện,12
115,"Huyện Võ Nhai",Huyện,12
116,"Huyện Đại Từ",Huyện,12
117,"Thị xã Phổ Yên","Thị xã",12
118,"Huyện Phú Bình",Huyện,12
119,"Thành phố Lạng Sơn","Thành phố",13
120,"Huyện Tràng Định",Huyện,13
121,"Huyện Bình Gia",Huyện,13
122,"Huyện Văn Lãng",Huyện,13
123,"Huyện Cao Lộc",Huyện,13
124,"Huyện Văn Quan",Huyện,13
125,"Huyện Bắc Sơn",Huyện,13
126,"Huyện Hữu Lũng",Huyện,13
127,"Huyện Chi Lăng",Huyện,13
128,"Huyện Lộc Bình",Huyện,13
129,"Huyện Đình Lập",Huyện,13
130,"Thành phố Hạ Long","Thành phố",14
131,"Thành phố Móng Cái","Thành phố",14
132,"Thành phố Cẩm Phả","Thành phố",14
133,"Thành phố Uông Bí","Thành phố",14
134,"Huyện Bình Liêu",Huyện,14
135,"Huyện Tiên Yên",Huyện,14
136,"Huyện Đầm Hà",Huyện,14
137,"Huyện Hải Hà",Huyện,14
138,"Huyện Ba Chẽ",Huyện,14
139,"Huyện Vân Đồn",Huyện,14
140,"Thị xã Đông Triều","Thị xã",14
141,"Thị xã Quảng Yên","Thị xã",14
142,"Huyện Cô Tô",Huyện,14
143,"Thành phố Bắc Giang","Thành phố",15
144,"Huyện Yên Thế",Huyện,15
145,"Huyện Tân Yên",Huyện,15
146,"Huyện Lạng Giang",Huyện,15
147,"Huyện Lục Nam",Huyện,15
148,"Huyện Lục Ngạn",Huyện,15
149,"Huyện Sơn Động",Huyện,15
150,"Huyện Yên Dũng",Huyện,15
151,"Huyện Việt Yên",Huyện,15
152,"Huyện Hiệp Hòa",Huyện,15
153,"Thành phố Việt Trì","Thành phố",16
154,"Thị xã Phú Thọ","Thị xã",16
155,"Huyện Đoan Hùng",Huyện,16
156,"Huyện Hạ Hoà",Huyện,16
157,"Huyện Thanh Ba",Huyện,16
158,"Huyện Phù Ninh",Huyện,16
159,"Huyện Yên Lập",Huyện,16
160,"Huyện Cẩm Khê",Huyện,16
161,"Huyện Tam Nông",Huyện,16
162,"Huyện Lâm Thao",Huyện,16
163,"Huyện Thanh Sơn",Huyện,16
164,"Huyện Thanh Thuỷ",Huyện,16
165,"Huyện Tân Sơn",Huyện,16
166,"Thành phố Vĩnh Yên","Thành phố",17
167,"Thành phố Phúc Yên","Thành phố",17
168,"Huyện Lập Thạch",Huyện,17
169,"Huyện Tam Dương",Huyện,17
170,"Huyện Tam Đảo",Huyện,17
171,"Huyện Bình Xuyên",Huyện,17
172,"Huyện Mê Linh",Huyện,1
173,"Huyện Yên Lạc",Huyện,17
174,"Huyện Vĩnh Tường",Huyện,17
175,"Huyện Sông Lô",Huyện,17
176,"Thành phố Bắc Ninh","Thành phố",18
177,"Huyện Yên Phong",Huyện,18
178,"Huyện Quế Võ",Huyện,18
179,"Huyện Tiên Du",Huyện,18
180,"Thị xã Từ Sơn","Thị xã",18
181,"Huyện Thuận Thành",Huyện,18
182,"Huyện Gia Bình",Huyện,18
183,"Huyện Lương Tài",Huyện,18
184,"Quận Hà Đông",Quận,1
185,"Thị xã Sơn Tây","Thị xã",1
186,"Huyện Ba Vì",Huyện,1
187,"Huyện Phúc Thọ",Huyện,1
188,"Huyện Đan Phượng",Huyện,1
189,"Huyện Hoài Đức",Huyện,1
190,"Huyện Quốc Oai",Huyện,1
191,"Huyện Thạch Thất",Huyện,1
192,"Huyện Chương Mỹ",Huyện,1
193,"Huyện Thanh Oai",Huyện,1
194,"Huyện Thường Tín",Huyện,1
195,"Huyện Phú Xuyên",Huyện,1
196,"Huyện Ứng Hòa",Huyện,1
197,"Huyện Mỹ Đức",Huyện,1
198,"Thành phố Hải Dương","Thành phố",19
199,"Thành phố Chí Linh","Thành phố",19
200,"Huyện Nam Sách",Huyện,19
201,"Thị xã Kinh Môn","Thị xã",19
202,"Huyện Kim Thành",Huyện,19
203,"Huyện Thanh Hà",Huyện,19
204,"Huyện Cẩm Giàng",Huyện,19
205,"Huyện Bình Giang",Huyện,19
206,"Huyện Gia Lộc",Huyện,19
207,"Huyện Tứ Kỳ",Huyện,19
208,"Huyện Ninh Giang",Huyện,19
209,"Huyện Thanh Miện",Huyện,19
210,"Quận Hồng Bàng",Quận,20
211,"Quận Ngô Quyền",Quận,20
212,"Quận Lê Chân",Quận,20
213,"Quận Hải An",Quận,20
214,"Quận Kiến An",Quận,20
215,"Quận Đồ Sơn",Quận,20
216,"Quận Dương Kinh",Quận,20
217,"Huyện Thuỷ Nguyên",Huyện,20
218,"Huyện An Dương",Huyện,20
219,"Huyện An Lão",Huyện,20
220,"Huyện Kiến Thuỵ",Huyện,20
221,"Huyện Tiên Lãng",Huyện,20
222,"Huyện Vĩnh Bảo",Huyện,20
223,"Huyện Cát Hải",Huyện,20
224,"Huyện Bạch Long Vĩ",Huyện,20
225,"Thành phố Hưng Yên","Thành phố",21
226,"Huyện Văn Lâm",Huyện,21
227,"Huyện Văn Giang",Huyện,21
228,"Huyện Yên Mỹ",Huyện,21
229,"Thị xã Mỹ Hào","Thị xã",21
230,"Huyện Ân Thi",Huyện,21
231,"Huyện Khoái Châu",Huyện,21
232,"Huyện Kim Động",Huyện,21
233,"Huyện Tiên Lữ",Huyện,21
234,"Huyện Phù Cừ",Huyện,21
235,"Thành phố Thái Bình","Thành phố",22
236,"Huyện Quỳnh Phụ",Huyện,22
237,"Huyện Hưng Hà",Huyện,22
238,"Huyện Đông Hưng",Huyện,22
239,"Huyện Thái Thụy",Huyện,22
240,"Huyện Tiền Hải",Huyện,22
241,"Huyện Kiến Xương",Huyện,22
242,"Huyện Vũ Thư",Huyện,22
243,"Thành phố Phủ Lý","Thành phố",23
244,"Thị xã Duy Tiên","Thị xã",23
245,"Huyện Kim Bảng",Huyện,23
246,"Huyện Thanh Liêm",Huyện,23
247,"Huyện Bình Lục",Huyện,23
248,"Huyện Lý Nhân",Huyện,23
