id,name,type,district_id
1,"Phường Phúc Xá",Phường,1
2,"Phường Trúc Bạch",Phường,1
3,"Phường Vĩnh Phúc",Phường,1
4,"Phường Cống Vị",Phường,1
5,"Phường Liễu Giai",Phường,1
6,"Phường Nguyễn Trung Trực",Phường,1
7,"Phường Quán Thánh",Phường,1
8,"Phường Ngọc Hà",Phường,1
9,"Phường Điện Biên",Phường,1
10,"Phường Đội Cấn",Phường,1
11,"Phường Ngọc Khánh",Phường,1
12,"Phường Kim Mã",Phường,1
13,"Phường Giảng Võ",Phường,1
14,"Phường Thành Công",Phường,1
15,"Phường Phúc Tân",Phường,2
16,"Phường Đồng Xuân",Phường,2
17,"Phường Hàng Mã",Phường,2
18,"Phường Hàng Buồm",Phường,2
19,"Phường Hàng Đào",Phường,2
20,"Phường Hàng Bồ",Phường,2
21,"Phường Cửa Đông",Phường,2
22,"Phường Lý Thái Tổ",Phường,2
23,"Phường Hàng Bạc",Phường,2
24,"Phường Hàng Gai",Phường,2
25,"Phường Chương Dương",Phường,2
26,"Phường Hàng Trống",Phường,2
27,"Phường Cửa Nam",Phường,2
28,"Phường Hàng Bông",Phường,2
29,"Phường Tràng Tiền",Phường,2
30,"Phường Trần Hưng Đạo",Phường,2
31,"Phường Phan Chu Trinh",Phường,2
32,"Phường Hàng Bài",Phường,2
33,"Phường Phú Thượng",Phường,3
34,"Phường Nhật Tân",Phường,3
35,"Phường Tứ Liên",Phường,3
36,"Phường Quảng An",Phường,3
37,"Phường Xuân La",Phường,3
38,"Phường Yên Phụ",Phường,3
39,"Phường Bưởi",Phường,3
40,"Phường Thụy Khuê",Phường,3
41,"Phường Thượng Thanh",Phường,4
42,"Phường Ngọc Thụy",Phường,4
43,"Phường Giang Biên",Phường,4
44,"Phường Đức Giang",Phường,4
45,"Phường Việt Hưng",Phường,4
46,"Phường Gia Thụy",Phường,4
47,"Phường Ngọc Lâm",Phường,4
48,"Phường Phúc Lợi",Phường,4
49,"Phường Bồ Đề",Phường,4
50,"Phường Sài Đồng",Phường,4
51,"Phường Long Biên",Phường,4
52,"Phường Thạch Bàn",Phường,4
53,"Phường Phúc Đồng",Phường,4
54,"Phường Cự Khối",Phường,4
55,"Phường Nghĩa Đô",Phường,5
56,"Phường Nghĩa Tân",Phường,5
57,"Phường Mai Dịch",Phường,5
58,"Phường Dịch Vọng",Phường,5
59,"Phường Dịch Vọng Hậu",Phường,5
60,"Phường Quan Hoa",Phường,5
61,"Phường Yên Hoà",Phường,5
62,"Phường Trung Hoà",Phường,5
63,"Phường Cát Linh",Phường,6
64,"Phường Văn Miếu",Phường,6
65,"Phường Quốc Tử Giám",Phường,6
66,"Phường Láng Thượng",Phường,6
67,"Phường Ô Chợ Dừa",Phường,6
68,"Phường Văn Chương",Phường,6
69,"Phường Hàng Bột",Phường,6
70,"Phường Láng Hạ",Phường,6
71,"Phường Khâm Thiên",Phường,6
72,"Phường Thổ Quan",Phường,6
73,"Phường Nam Đồng",Phường,6
74,"Phường Trung Phụng",Phường,6
75,"Phường Quang Trung",Phường,6
76,"Phường Trung Liệt",Phường,6
77,"Phường Phương Liên",Phường,6
78,"Phường Thịnh Quang",Phường,6
79,"Phường Trung Tự",Phường,6
80,"Phường Kim Liên",Phường,6
81,"Phường Phương Mai",Phường,6
82,"Phường Ngã Tư Sở",Phường,6
83,"Phường Khương Thượng",Phường,6
84,"Phường Nguyễn Du",Phường,7
85,"Phường Bạch Đằng",Phường,7
86,"Phường Phạm Đình Hổ",Phường,7
87,"Phường Lê Đại Hành",Phường,7
88,"Phường Đồng Nhân",Phường,7
89,"Phường Phố Huế",Phường,7
